FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
12640,31226,0,-121.768929057999998,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.659120087361000,-156.549305686999986,CTB,245.4510040
12641,31227,0,-121.746471176000000,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.679723013012000,-156.549305686999986,CTB,245.9259949
12642,31228,0,-121.724013294000002,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.700325938663000,-156.549305686999986,CTB,244.7149963
12643,31229,0,-121.701555412000005,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.720928864314000,-156.549305686999986,CTB,243.9980011
12644,31230,0,-121.679097530000007,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.741531789965000,-156.549305686999986,CTB,241.6479950
12645,31231,0,-121.656639647999995,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.762134715616000,-156.549305686999986,CTB,237.8589935
12646,31232,0,-121.634181764999994,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.782737641267000,-156.549305686999986,CTB,236.8439941
12647,31233,0,-121.611723882999996,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.803340566919000,-156.549305686999986,CTB,234.4230042
12648,31333,0,-123.049028337999999,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.450074725084000,31.957405984400001,CTB,433.0549927
12649,31334,0,-123.026570456000002,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.431020519015000,31.957405984400001,CTB,440.4509888
12650,31335,0,-123.004112574000004,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.411966312945000,31.957405984400001,CTB,429.2179871
12651,31336,0,-122.981654692000006,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.392912106876000,31.957405984400001,CTB,377.0199890
12652,31337,0,-122.959196809999995,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.373857900807000,31.957405984400001,CTB,334.2300110
12653,31338,0,-122.936738926999993,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.354803694737000,31.957405984400001,CTB,306.6040039
12654,31339,0,-122.914281044999996,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.335686277979000,31.196649235999999,CTB,352.2569885
12655,31340,0,-122.891823162999998,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.316475927936000,31.196649235999999,CTB,358.7579956
12656,31341,0,-122.869365281000000,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.297265577894000,31.196649235999999,CTB,362.5190125
12657,31342,0,-122.846907399000003,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.278055227851000,31.196649235999999,CTB,340.0700073
12658,31343,0,-122.824449517000005,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.258844877808000,31.196649235999999,CTB,318.5220032
12659,31344,0,-122.801991634999993,57.332682492000004,0,Montney Basin,26607264166.200000762939453,4,0,0.239634527766000,31.196649235999999,CTB,318.9819946
