FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
129,1780,0,-120.107045782000000,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.232104481255000,-123.028552817999994,Faults - BCOGC Pool boundary faults,1.4631701
130,1781,0,-120.084587900000002,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.245069677491000,-127.434921337000006,Faults - BCOGC Pool boundary faults,1.4665800
131,1782,0,-120.062130018000005,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.259334757349000,-131.377844073000006,Faults - BCOGC Pool boundary faults,1.4594700
132,1783,0,-120.039672135999993,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.274697285845000,-134.894933527999996,Faults - BCOGC Pool boundary faults,1.4470900
133,1784,0,-120.017214253999995,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.290983494839000,-138.029082345000006,Faults - BCOGC Pool boundary faults,1.4402800
134,1925,0,-120.533745542000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,155,0.237191384374000,-114.610761604999993,Faults - BCOGC Pool boundary faults,1.0653501
135,1926,0,-120.511287659999994,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,155,0.246544004468000,-114.610761604999993,Faults - BCOGC Pool boundary faults,1.0738699
136,1927,0,-120.488829777999996,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,155,0.255865408311000,-114.406573245000004,Faults - BCOGC Pool boundary faults,1.1188800
137,1928,0,-120.466371895999998,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,155,0.265145205185000,-114.406573245000004,Faults - BCOGC Pool boundary faults,1.1229300
138,1929,0,-120.443914014000001,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.267403614607000,-46.456603581800003,Faults - BCOGC Pool boundary faults,1.1277300
139,1930,0,-120.421456132000003,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.252457671322000,-50.153643038399998,Faults - BCOGC Pool boundary faults,1.1386200
140,1931,0,-120.398998250000005,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.238691791754000,-54.296127568999999,Faults - BCOGC Pool boundary faults,1.1652100
141,1932,0,-120.376540367999993,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.226321408686000,-58.917984543999999,Faults - BCOGC Pool boundary faults,1.1958400
142,1933,0,-120.354082485999996,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.215586877025000,-64.036433379700000,Faults - BCOGC Pool boundary faults,1.2246701
143,1934,0,-120.331624603999998,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.206743164332000,-69.641075214599994,Faults - BCOGC Pool boundary faults,1.2537700
144,1935,0,-120.309166720999997,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.200041204225000,-75.682829366199996,Faults - BCOGC Pool boundary faults,1.2801600
145,1936,0,-120.286708838999999,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.195701159207000,-82.066855525299999,Faults - BCOGC Pool boundary faults,1.2914900
146,1937,0,-120.264250957000002,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.193881708728000,-88.654582482699993,Faults - BCOGC Pool boundary faults,1.3051600
147,1938,0,-120.241793075000004,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.194653546539000,-95.277922502300001,Faults - BCOGC Pool boundary faults,1.3364700
148,1939,0,-120.219335193000006,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.197986369022000,-101.763351403000001,Faults - BCOGC Pool boundary faults,1.3546300
149,1940,0,-120.196877310999994,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.203754544475000,-107.957938151999997,Faults - BCOGC Pool boundary faults,1.3761500
150,1941,0,-120.174419428999997,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.211759154245000,-113.748204149000003,Faults - BCOGC Pool boundary faults,1.4009500
151,1942,0,-120.151961546999999,55.085215409600004,0,Montney Basin,26607264166.200000762939453,4,151,0.221637797586000,-115.059691654999995,Faults - BCOGC Pool boundary faults,1.4323400
