FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC
1090,586,587.000000000000000,55.699742000000001,-120.118162999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.850237256743000,-123.470980783000002,CTB
1091,835,836.000000000000000,55.699767000000001,-120.512122000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.632973674781000,-123.474326880999996,CTB
1092,665,666.000000000000000,55.699975999999999,-120.554327000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.609869280273000,-123.474326880999996,CTB
1093,4582,4583.000000000000000,55.700090000000003,-120.554480999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.609879430696000,-123.474326880999996,CTB
1094,4690,4691.000000000000000,55.700369999999999,-120.511465999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.633838482524000,-123.474326880999996,CTB
1095,584,585.000000000000000,55.700384999999997,-120.555167999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.609746575971000,-123.474326880999996,CTB
1096,846,847.000000000000000,55.700819000000003,-120.305738000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.747685019138000,-123.474326880999996,CTB
1097,1227,1228.000000000000000,55.701745000000003,-120.118551999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.851693550593000,-123.470980783000002,CTB
1098,1107,1108.000000000000000,55.701825999999997,-120.963064000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.360858440504000,-130.814001826000009,CTB
1099,4844,4845.000000000000000,55.701982000000001,-120.117779999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.852317017006000,-123.470980783000002,CTB
1100,1223,1224.000000000000000,55.702185999999998,-120.094511999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.865319827671000,-123.470980783000002,CTB
1101,1036,1037.000000000000000,55.702309000000000,-120.542987999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.618069488734000,-123.474326880999996,CTB
1102,4770,4771.000000000000000,55.702475000000000,-120.542919999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.618245461124000,-123.474326880999996,CTB
1103,1044,1045.000000000000000,55.702649000000001,-120.775206999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.482312242967000,-128.241186411000001,CTB
1104,1218,1219.000000000000000,55.702872999999997,-120.505172000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.639397856846000,-123.474326880999996,CTB
1105,4792,4793.000000000000000,55.702885999999999,-120.551475999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.613869114367000,-123.474326880999996,CTB
1106,1116,1117.000000000000000,55.702942999999998,-120.551422000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.613946444368000,-123.474326880999996,CTB
1107,1391,1392.000000000000000,55.705241999999998,-120.094854999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.867679867211000,-123.470980783000002,CTB
1108,4995,4996.000000000000000,55.705421000000001,-120.546288000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.618845151957000,-123.474326880999996,CTB
1109,1599,1600.000000000000000,55.705696000000003,-120.546633000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.618884249214000,-123.474326880999996,CTB
1110,1402,1403.000000000000000,55.705916000000002,-120.636861999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.569300755116000,-123.474326880999996,CTB
1111,1398,1399.000000000000000,55.705984000000001,-120.296643000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.757009784393000,-123.474326880999996,CTB
1112,1377,1378.000000000000000,55.706389999999999,-120.502210000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.643965233226000,-123.474326880999996,CTB
1113,4920,4921.000000000000000,55.706727999999998,-120.502433999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.644123620022000,-123.474326880999996,CTB
1114,1394,1395.000000000000000,55.706885000000000,-120.893485999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.410163839411000,-130.814001826000009,CTB
1115,1401,1402.000000000000000,55.707608999999998,-120.323856000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.743355559008000,-123.474326880999996,CTB
1116,1513,1514.000000000000000,55.708156000000002,-120.629689999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.575125025007000,-123.474326880999996,CTB
1117,4926,4927.000000000000000,55.708368000000000,-120.094584999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.870436376749000,-123.470980783000002,CTB
1118,1382,1383.000000000000000,55.708426000000003,-120.222391000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.799997887544000,-123.470980783000002,CTB
